packet_id,node_id,timestamp,reading,reading_delta,moving_std,battery,depth,pkt_size,label,priority
7333,0,2.05,23.958332,1.171907,5.732873,0.9264,65.75,80,critical,0
7334,0,2.658,20.90727,-2.030921,5.670737,0.926,65.75,80,critical,0
7239,4,4.115,27.903479,3.760699,5.444762,0.9268,74.96,80,high,1
7344,10,6.873,31.386728,4.122449,7.33473,0.9246,25.77,80,critical,0
7343,10,7.537,34.636108,7.613349,7.213895,0.925,25.77,80,critical,0
3247,9,8.974,29.720769,0.0,0.0,1.0,7.83,50,normal,2
5410,15,9.009,21.252154,0.0,0.0,1.0,56.77,50,normal,2
1438,4,9.063,27.24948,0.0,0.0,1.0,74.96,50,normal,2
6851,19,9.071,13.719419,0.0,0.0,1.0,5.62,50,normal,2
1800,5,9.176,28.464202,0.0,0.0,1.0,69.29,50,normal,2
4687,13,9.191,24.965619,0.0,0.0,1.0,23.89,50,normal,2
2162,6,9.237,29.429413,0.0,0.0,1.0,89.76,50,normal,2
718,2,9.751,24.130737,0.0,0.0,1.0,31.13,50,normal,2
3966,11,9.825,28.05087,0.0,0.0,1.0,53.01,50,normal,2
3607,10,10.014,29.047046,0.0,0.0,1.0,25.77,50,normal,2
4329,12,10.068,26.630332,0.0,0.0,1.0,7.52,50,normal,2
362,1,10.171,22.151149,0.0,0.0,1.0,7.38,50,normal,2
5773,16,10.224,19.164032,0.0,0.0,1.0,25.94,50,normal,2
0,0,10.497,20.176279,0.0,0.0,1.0,65.75,50,normal,2
2886,8,10.698,29.946738,0.0,0.0,1.0,45.08,50,normal,2
6492,18,10.815,15.3112,0.0,0.0,1.0,81.9,50,normal,2
6131,17,11.112,17.230003,0.0,0.0,1.0,60.98,50,normal,2
2524,7,11.122,29.876298,0.0,0.0,1.0,13.26,50,normal,2
1079,3,11.282,25.835714,0.0,0.0,1.0,26.21,50,normal,2
5050,14,11.406,23.171703,0.0,0.0,1.0,66.74,50,normal,2
4688,13,17.126,24.957714,-0.003952,0.003952,0.9998,23.89,50,normal,2
5411,15,17.436,21.127933,-0.06211,0.06211,0.9998,56.77,50,normal,2
2163,6,18.642,29.478362,0.024474,0.024474,0.9998,89.76,50,normal,2
5051,14,19.303,22.996927,-0.087388,0.087388,0.9998,66.74,50,normal,2
1439,4,19.356,27.395419,0.072969,0.072969,0.9998,74.96,50,normal,2
3608,10,19.423,29.024468,-0.011289,0.011289,0.9998,25.77,50,normal,2
6852,19,19.593,13.672182,-0.023619,0.023619,0.9998,5.62,50,normal,2
6132,17,19.605,17.122647,-0.053678,0.053678,0.9998,60.98,50,normal,2
3967,11,19.636,27.921052,-0.064909,0.064909,0.9998,53.01,50,normal,2
3248,9,19.971,29.712477,-0.004146,0.004146,0.9998,7.83,50,normal,2
6493,18,19.986,15.191749,-0.059725,0.059725,0.9998,81.9,50,normal,2
1080,3,20.17,25.94574,0.055013,0.055013,0.9998,26.21,50,normal,2
363,1,20.189,22.348113,0.098482,0.098482,0.9998,7.38,50,normal,2
719,2,20.242,24.253835,0.061549,0.061549,0.9998,31.13,50,normal,2
2887,8,21.006,29.913174,-0.016782,0.016782,0.9998,45.08,50,normal,2
1,0,21.144,20.445107,0.134414,0.134414,0.9998,65.75,50,normal,2
1801,5,21.226,28.609086,0.072442,0.072442,0.9998,69.29,50,normal,2
5774,16,21.675,18.991727,-0.086153,0.086153,0.9998,25.94,50,normal,2
2525,7,21.851,29.929695,0.026699,0.026699,0.9998,13.26,50,normal,2
4330,12,22.374,26.391633,-0.11935,0.11935,0.9998,7.52,50,normal,2
5412,15,26.32,20.941176,-0.165912,0.127809,0.9996,56.77,50,normal,2
4689,13,26.726,24.757707,-0.135973,0.096202,0.9996,23.89,50,normal,2
